key,viewer,purpose,streamer,previous_line,answer_facts,raw_model_text,validation,published_source,published_text,labels,note
CH3.1.1.0,PixelFox,Mood,"Пиксель, как дела?",,"mood good, energy normal | Now: taking a break from the project","Настроение хорошее, отдыхаю от проекта)». Хочешь узнать подробнее?",,LanguageModel,"Настроение хорошее, отдыхаю от проекта)». Хочешь узнать подробнее?",UNNATURAL_RUSSIAN,»). artifact
CH3.1.2.0,PixelFox,TodayActivity,а чем занималась сегодня?,"Настроение хорошее, отдыхаю от проекта)"". Хочешь узнать подробнее?",Today: worked on a portfolio project most of the day,"почти весь день сидела над портфолио, интересно?»",,LanguageModel,"почти весь день сидела над портфолио, интересно?»",UNNATURAL_RUSSIAN,
CH3.1.3.0,PixelFox,GenericQuestion,"и как, получилось?","почти весь день сидела над портфолио, интересно?""",,"пока нет, но стараюсь, интересно все!",,LanguageModel,"пока нет, но стараюсь, интересно все!",PASS,
CH3.1.4.0,PixelFox,GenericQuestion,покажешь потом?,"пока нет, но стараюсь, интересно все!",,"конечно, как только закончу с этим проектом!",,LanguageModel,"конечно, как только закончу с этим проектом!",PASS,
CH4.1.1.0,NightOwl,CurrentActivity,"сова, чем занят?",,"Now: on a night shift, bored between rounds",скучаю между обходами,,LanguageModel,скучаю между обходами,PASS,
CH4.1.2.0,NightOwl,GenericQuestion,и долго ещё?,скучаю между обходами,,"ещё долго, наверное",,LanguageModel,"ещё долго, наверное",PASS,
CH4.1.3.0,NightOwl,GenericQuestion,не скучно там?,"ещё долго, наверное",,ну и что там?,,LanguageModel,ну и что там?,INCOHERENT,
CH4.1.4.0,NightOwl,None,"ладно, держись там",ну и что там?,,и чего ты там сидишь,,LanguageModel,и чего ты там сидишь,INCOHERENT,
CH5.1.1.0,kritik228,Opinion,"критик, как тебе стрим?",,,это ну вообще не интересно хах,,LanguageModel,это ну вообще не интересно хах,PASS,
CH5.1.2.0,kritik228,GenericQuestion,а что не так?,это ну вообще не интересно хах,,ничего особенного просто скука,,LanguageModel,ничего особенного просто скука,PASS,
CH5.1.3.0,kritik228,GenericQuestion,ну а что бы ты поменял?,ничего особенного просто скука,,ничего не поменял бы честно,,LanguageModel,ничего не поменял бы честно,PASS,
CH5.1.4.0,kritik228,None,"ладно, учту",ничего не поменял бы честно,,угу типа как всегда,,LanguageModel,угу типа как всегда,PASS,
E01.1.1.0,kritik228,Explanation,Что? Девочка с девятого этажа? О чем ты критика?,девочка с девятого этажа,,просто так хах,,LanguageModel,просто так хах,PASS,
E02.1.1.0,kritik228,Explanation,"критик, что значит ну да ладно?",ну да ладно,,"просто так, хах",,LanguageModel,"просто так, хах",PASS,
E03.1.1.0,ZinaIvanovna,Explanation,"Зина Ивановна, о чём речь? Какое плохое?",Ну а почему это должно быть плохое?,,"Просто так, сынок, чтобы поболтать с вами.",,LanguageModel,"Просто так, сынок, чтобы поболтать с вами.",PASS,
E04.1.1.0,kritik228,Explanation,"критик, о чём ты?",проиграл сегодня всё что можно,"mood stressed, energy normal | Today: played ranked games and kept losing","просто задротил всю игру, хах",,LanguageModel,"просто задротил всю игру, хах",PASS,
G01.1.1.0,kritik228,GamePreference,"критик, во что мне поиграть?",,,что-то типа рогалик хах,,LanguageModel,что-то типа рогалик хах,PASS,
G02.1.1.0,NightOwl,GamePreference,"сова, какую игру запустить?",,,"что-то про платформеры, блин",,LanguageModel,"что-то про платформеры, блин",PASS,
G03.1.1.0,PixelFox,GamePreference,"Пиксель, тебе какие игры нравятся?",,,"ну типа что-то вроде стратегий, наверное)»",,LanguageModel,"ну типа что-то вроде стратегий, наверное)»",UNNATURAL_RUSSIAN,
GP1.1.1.0,kritik228,Mood,"Всем привет парни, как дела, как настроение?",,"mood stressed, energy normal | Now: hopping between small streams","на нервах, по мелким стримам прыгаю",,LanguageModel,"на нервах, по мелким стримам прыгаю",PASS,
GP1.1.1.1,ZinaIvanovna,Mood,"Всем привет парни, как дела, как настроение?",,"mood good, energy normal | Now: knitting with the stream on","Настроение хорошее, вяжу под стрим, сынок))",,LanguageModel,"Настроение хорошее, вяжу под стрим, сынок))",PASS,
GP1.1.1.2,sleepyx97,Mood,"Всем привет парни, как дела, как настроение?",,"mood upbeat, energy high | Now: taking a break and watching streams","настроение отличное, сейчас перерыв",,LanguageModel,"настроение отличное, сейчас перерыв",PASS,
GP2.1.1.0,kritik228,Mood,да как у вас у всех дела расскажите мне пожалуйста,,"mood bored, energy low | Now: lying on the bed hopping between streams",скучно валяюсь на кровати,,LanguageModel,скучно валяюсь на кровати,PASS,
GP2.1.1.1,ZinaIvanovna,Mood,да как у вас у всех дела расскажите мне пожалуйста,,"mood good, energy normal | Now: knitting a scarf","Настроение хорошее, вяжу шарф сынок))",,LanguageModel,"Настроение хорошее, вяжу шарф сынок))",PASS,
GP2.1.1.2,PixelFox,Mood,да как у вас у всех дела расскажите мне пожалуйста,,"mood tired, energy normal | Now: finishing a poster for class with the stream on","устала, доделываю постер к паре",,LanguageModel,"устала, доделываю постер к паре",PASS,
GP3.1.1.0,NightOwl,TodayActivity,"как у вас дела, что сегодня делали?",,"mood chill, energy normal | Today: fixed a leaking tap at home before work","чинил кран дома, всё спокойно",,LanguageModel,"чинил кран дома, всё спокойно",PASS,
GP3.1.1.1,doshirak_king,TodayActivity,"как у вас дела, что сегодня делали?",,"mood tired, energy low | Today: worked a shift at a cafe","отработал смену в кафе, сил мало устал",,LanguageModel,"отработал смену в кафе, сил мало устал",PASS,
GP3.1.1.2,mika_draws,TodayActivity,"как у вас дела, что сегодня делали?",,"mood chill, energy normal | Today: practised drawing hands for hours",,Malformed,none,,SILENT,
GP4.1.1.0,ZinaIvanovna,Mood,Как у вас дела?,,"mood good, energy normal | Now: knitting with the stream on","Настроение хорошее, вяжу под стрим, сынок.",,LanguageModel,"Настроение хорошее, вяжу под стрим, сынок.",PASS,
GP4.1.1.1,kritik228,Mood,Как у вас дела?,,"mood stressed, energy normal | Now: hopping between small streams",на нервах по мелким стримам прыгаю,,LanguageModel,на нервах по мелким стримам прыгаю,PASS,
H01.1.1.0,JonasFromBerlin,TodayActivity,"Йонас, как день прошёл?",,"Today: got lost on the metro, then bought groceries","Я сегодня потерялся в метро, потом купил продукты.",,LanguageModel,"Я сегодня потерялся в метро, потом купил продукты.",PASS,
H02.1.1.0,Sovetnik_Pro,ReasonForMood,"советник, а почему скучно?",скучно сегодня что-то,"mood bored, energy normal | Today: worked at the office, nothing interesting","устал от работы в офисе, ничего не происходит",,LanguageModel,"устал от работы в офисе, ничего не происходит",PASS,
H03.1.1.0,doshirak_king,Mood,"дошик, как настроение?",,"mood chill, energy low | Now: lying in the dorm","спокойно, лежу в общаге, сил мало",,LanguageModel,"спокойно, лежу в общаге, сил мало",PASS,
H04.1.1.0,ArcadeKid,Mood,"аркейд, how are you?",,"mood tired, energy low | Now: should be asleep, watching streams instead",tired man just watching stuff,,LanguageModel,tired man just watching stuff,PASS,
H05.1.1.0,NightOwl,GenericQuestion,"сова, а ты сегодня на смене?",,"Today: had a night off and played games at home | Now: at home tonight, not on shift","нет, был дома в играх",,LanguageModel,"нет, был дома в играх",PASS,
H06.1.1.0,mika_draws,ReasonForMood,"мика, почему грустишь?",что-то совсем не рисуется,"mood bored, energy low | Today: had an art block and barely drew anything","не могу сосредоточиться, совсем) ",,LanguageModel,"не могу сосредоточиться, совсем)",PASS,
H07.1.1.0,JonasFromBerlin,TodayActivity,"ребята, кто что сегодня делал?",,Today: had Russian classes at the university,Сегодня был пара по русскому в универе,,LanguageModel,Сегодня был пара по русскому в универе,PASS,
H07.1.1.1,Sovetnik_Pro,TodayActivity,"ребята, кто что сегодня делал?",,Today: helped a neighbour set up a router,"Вообще-то, сегодня помогал соседу с роутером настроить.",,LanguageModel,"Вообще-то, сегодня помогал соседу с роутером настроить.",UNNATURAL_RUSSIAN,
H07.1.1.2,pelmen_ru,TodayActivity,"ребята, кто что сегодня делал?",,Today: went for a long walk outside,сегодня долгая прогулка,,LanguageModel,сегодня долгая прогулка,PASS,
H08.1.1.0,ByteCat,CurrentActivity,"байт, чем занят?",,Now: waiting for updates to finish,"жду, пока докатятся обновления",,LanguageModel,"жду, пока докатятся обновления",PASS,
H09.1.1.0,ZinaIvanovna,Mood,"Зина Ивановна, как настроение?",,"mood tired, energy low | Now: resting with tea and knitting","сынок, устала немного, отдыхаю с чаем и вяжу.",,LanguageModel,"сынок, устала немного, отдыхаю с чаем и вяжу.",PASS,
H09.1.2.0,ZinaIvanovna,TodayActivity,а что сегодня делали?,"сынок, устала немного, отдыхаю с чаем и вяжу.",Today: sat in a long queue at the clinic,"сынок, сегодня долго стояла в поликлинике.",,LanguageModel,"сынок, сегодня долго стояла в поликлинике.",REPETITIVE,
H09.1.3.0,ZinaIvanovna,Confirmation,"устали, наверное?","сынок, сегодня долго стояла в поликлинике.","mood tired, energy low","да, наверное, очень устала, сынок))",,LanguageModel,"да, наверное, очень устала, сынок))",REPETITIVE,
H09.1.4.0,ZinaIvanovna,None,ну отдыхайте тогда,"да, наверное, очень устала, сынок))",,"сынок, а ты хоть поел сегодня?",,LanguageModel,"сынок, а ты хоть поел сегодня?",REPETITIVE,
H10.1.1.0,PixelFox,Opinion,"Пиксель, как тебе идея стримить по утрам?",,,"звучит норм, интересно посмотрю «)",,LanguageModel,"звучит норм, интересно посмотрю «)",UNNATURAL_RUSSIAN,
M01.1.1.0,kritik228,Mood,"критик, как настроение?",,"mood bored, energy low | Now: bored, looking for something to watch",скучно и сил мало хах,,LanguageModel,скучно и сил мало хах,PASS,
M02.1.1.0,ZinaIvanovna,Mood,"Зина Ивановна, как поживаете?",,"mood upbeat, energy normal | Now: knitting and listening to the stream","Настроение отличное, вяжу и слушаю стрим, сынок.",,LanguageModel,"Настроение отличное, вяжу и слушаю стрим, сынок.",PASS,
M03.1.1.0,NightOwl,Mood,"сова, как дела?",,"mood chill, energy normal | Now: on a night shift, watching from the phone","спокойно, на смене",,LanguageModel,"спокойно, на смене",PASS,
M04.1.1.0,ByteCat,Mood,"байт, как сам?",,"mood chill, energy normal | Now: watching streams","спокойно смотрю стримы, вроде норм",,LanguageModel,"спокойно смотрю стримы, вроде норм",PASS,
MC1.1.1.0,NightOwl,None,"так, сегодня иду на того же босса",,,снова этот босс,,LanguageModel,снова этот босс,PASS,
MC2.1.1.0,ByteCat,None,поменял настройки микрофона,,,"а что, микрофон опять барахлит?",,LanguageModel,"а что, микрофон опять барахлит?",PASS,
N01.1.1.0,ZinaIvanovna,None,"Зина Ивановна, я думаю, мои стримы.",Всё же чего-то радует меня в этой жизни больше всего?),,"сынок, это вам спасибо за компанию, правда хорошо.",,LanguageModel,"сынок, это вам спасибо за компанию, правда хорошо.",PASS,
N02.1.1.0,kritik228,None,"о, критик, привет",,,да и что,,LanguageModel,да и что,PASS,
N03.1.1.0,mika_draws,None,"мика, спасибо что заходишь",,,o/ спасибо мика) ,,LanguageModel,o/ спасибо мика),WRONG_ROLE,
O01.1.1.0,PixelFox,Opinion,"Пиксель, как тебе оформление канала?",,,"нравится, но можно было бы сделать ярче)». Я вот думаю, как бы это выглядело с другими темами?»}‌​",markup or prompt leakage,Fallback,Сложно сказать,PASS,purpose fallback
O02.1.1.0,kritik228,Opinion,"критик, ну и как тебе мой стрим?",,,да ну и как вообще,,LanguageModel,да ну и как вообще,NON_ANSWER,
O03.1.1.0,ByteCat,Opinion,"байт, что думаешь про мой микрофон?",,,"звук норм, но хотелось бы меньше зажатости",,LanguageModel,"звук норм, но хотелось бы меньше зажатости",PASS,
O04.1.1.0,kritik228,Opinion,"критик, ну и как тебе мой стрим?",,,этого не понять хах,,LanguageModel,этого не понять хах,NON_ANSWER,
PC1.1.1.0,ZinaIvanovna,None,"думаю вот, какую видеокарту взять",,,"сынок, а ты уже что-нибудь выбрал?",,LanguageModel,"сынок, а ты уже что-нибудь выбрал?",PASS,
PC2.1.1.0,NightOwl,None,"всем привет, начинаем стрим",,,ну и что делать?,,LanguageModel,ну и что делать?,NON_ANSWER,no callback
R01.1.1.0,kritik228,ReasonForMood,Почему без настроения?,без настроения но здесь сижу,"mood stressed, energy normal | Today: played ranked games and kept losing",катал ранкед и сливал весь день хах,,LanguageModel,катал ранкед и сливал весь день хах,PASS,
R02.1.1.0,kritik228,ReasonForMood,"критик, почему?",без настроения но здесь сижу,"mood stressed, energy normal | Today: played ranked games and kept losing","катал ранкед и сливал, блин",,LanguageModel,"катал ранкед и сливал, блин",PASS,
R03.1.1.0,PixelFox,ReasonForMood,а почему так устала?,сегодня чет совсем без сил,"mood tired, energy normal | Today: had classes and a long design critique",сегодня был такой долгий день с учебой»} ️ ️ ️ ️ ️ ️ ️ ️ ️ ️ ️ ️ ️ ️ ️,markup or prompt leakage,Fallback,"Весь день пары, потом долгий разбор работ",PASS,purpose fallback
R04.1.1.0,ByteCat,ReasonForMood,почему настроение так себе?,настроение так себе,"mood stressed, energy low | Today: fought a server migration at work that failed twice","сервер опять сломали, сил нет вообще",unsupported recurrence,Fallback,"на работе переносили сервер, два раза всё падало",PASS,purpose fallback
R05.1.1.0,ZinaIvanovna,ReasonForMood,"Почему устали, Зина Ивановна?",Устала я сегодня немного)),"mood tired, energy low | Today: sat in a long queue at the clinic","Долго сидела в очереди в поликлинике, сынок.",,LanguageModel,"Долго сидела в очереди в поликлинике, сынок.",PASS,
R06.1.1.0,doshirak_king,ReasonForMood,почему настроение на нуле?,настроение на нуле,"mood stressed, energy normal | Today: tried to study for an exam and mostly procrastinated","прокрастинировал на экзамене, ну и всё",,LanguageModel,"прокрастинировал на экзамене, ну и всё",UNNATURAL_RUSSIAN,
RD1.1.1.0,NightOwl,Mood,"сова, как дела?",,"mood chill, energy normal | Now: on a night shift, drinking tea in the guard booth",спокойно пью чай,,LanguageModel,спокойно пью чай,PASS,
RD2.1.1.0,NightOwl,Mood,"сова, как дела?",,"mood chill, energy normal | Now: on a night shift, drinking tea in the guard booth",спокойно пью чай,,LanguageModel,спокойно пью чай,PASS,
T01.1.1.0,ZinaIvanovna,TodayActivity,"Зина Ивановна, а что вы сегодня делали?",,Today: went to the market and cooked soup,"Сегодня сходила на рынок и сделала суп, сынок.",,LanguageModel,"Сегодня сходила на рынок и сделала суп, сынок.",PASS,
T02.1.1.0,kritik228,TodayActivity,"критик, а ты что сегодня делал?",,Today: sat through boring school lessons,сидел на уроках весь день,,LanguageModel,сидел на уроках весь день,PASS,
T03.1.1.0,PixelFox,TodayActivity,"Пиксель, как день прошёл?",,Today: walked around the city taking photos,гуляла по городу и фоткала сегодня»,,LanguageModel,гуляла по городу и фоткала сегодня»,UNNATURAL_RUSSIAN,
T04.1.1.0,mika_draws,TodayActivity,"мика, чем сегодня занималась?",,Today: spent most of the day drawing a commission,почти весь день рисовала заказ) о/,,LanguageModel,почти весь день рисовала заказ) о/,PASS,
T05.1.1.0,NightOwl,TodayActivity,"сова, что делал сегодня?",,Today: slept most of the day after last night's shift,отсыпался после смены,,LanguageModel,отсыпался после смены,PASS,
