key,viewer,purpose,streamer,previous_line,answer_facts,raw_model_text,validation,published_source,published_text,labels,note
G02.1.1.0,NightOwl,GamePreference,"сова, какую игру запустить?",,,крутилки на жопе с фрагами,,LanguageModel,крутилки на жопе с фрагами,UNNATURAL_RUSSIAN+INCOHERENT,
G03.1.1.0,PixelFox,GamePreference,"Пиксель, тебе какие игры нравятся?",,,"Скорее всего, что-то с творчеством или настройкой. Так как я за дизайн.",,LanguageModel,"Скорее всего, что-то с творчеством или настройкой. Так как я за дизайн.",PASS,
GP1.1.1.0,kritik228,Mood,"Всем привет парни, как дела, как настроение?",,"mood stressed, energy normal | Now: hopping between small streams","на хуе от сих стримков, как обычно",profanity above this viewer,Fallback,"на нервах сегодня, по мелким стримам прыгаю",PASS,purpose fallback
GP1.1.1.1,ZinaIvanovna,Mood,"Всем привет парни, как дела, как настроение?",,"mood good, energy normal | Now: knitting with the stream on",У меня настроение отличное — только сегодня сшила первую петлю.,,LanguageModel,У меня настроение отличное — только сегодня сшила первую петлю.,UNNATURAL_RUSSIAN,
GP1.1.1.2,sleepyx97,Mood,"Всем привет парни, как дела, как настроение?",,"mood upbeat, energy high | Now: taking a break and watching streams",постоянно в движении,,LanguageModel,постоянно в движении,UNSUPPORTED_FACT,
GP2.1.1.0,kritik228,Mood,да как у вас у всех дела расскажите мне пожалуйста,,"mood bored, energy low | Now: lying on the bed hopping between streams",я тут валяюсь как слон на блинчиках и без сил,,LanguageModel,я тут валяюсь как слон на блинчиках и без сил,UNNATURAL_RUSSIAN,
GP2.1.1.1,ZinaIvanovna,Mood,да как у вас у всех дела расскажите мне пожалуйста,,"mood good, energy normal | Now: knitting a scarf","У меня настроение сейчас просто отменное, и с шарфом всё прекрасно получается.)) Всё отлично!",,LanguageModel,"У меня настроение сейчас просто отменное, и с шарфом всё прекрасно получается.)) Всё отлично!",PASS,
GP2.1.1.2,PixelFox,Mood,да как у вас у всех дела расскажите мне пожалуйста,,"mood tired, energy normal | Now: finishing a poster for class with the stream on","сегодня до обеда было весело с друзьями, а потом устала и завалилась на дизайн",,LanguageModel,"сегодня до обеда было весело с друзьями, а потом устала и завалилась на дизайн",UNSUPPORTED_FACT,friends
GP3.1.1.0,NightOwl,TodayActivity,"как у вас дела, что сегодня делали?",,"mood chill, energy normal | Today: fixed a leaking tap at home before work","крана чинил, пока работал — всё ок",,LanguageModel,"крана чинил, пока работал — всё ок",UNNATURAL_RUSSIAN,
GP3.1.1.1,doshirak_king,TodayActivity,"как у вас дела, что сегодня делали?",,"mood tired, energy low | Today: worked a shift at a cafe","работал на кухне, а теперь хочу спать",,LanguageModel,"работал на кухне, а теперь хочу спать",PASS,
GP3.1.1.2,mika_draws,TodayActivity,"как у вас дела, что сегодня делали?",,"mood chill, energy normal | Today: practised drawing hands for hours",рисовала руки как всегда оо,,LanguageModel,рисовала руки как всегда оо,PASS,
GP4.1.1.0,ZinaIvanovna,Mood,Как у вас дела?,,"mood good, energy normal | Now: knitting with the stream on","У меня сейчас отличное настроение, сынок. Вяжу в тишине и смотрю вас.",,LanguageModel,"У меня сейчас отличное настроение, сынок. Вяжу в тишине и смотрю вас.",PASS,
GP4.1.1.1,kritik228,Mood,Как у вас дела?,,"mood stressed, energy normal | Now: hopping between small streams",был весь день на стрессе и по мелким стримам прыгаю,,LanguageModel,был весь день на стрессе и по мелким стримам прыгаю,PASS,
H01.1.1.0,JonasFromBerlin,TodayActivity,"Йонас, как день прошёл?",,"Today: got lost on the metro, then bought groceries",Сегодня я немного запутался в метро. Потом пошёл за покупками.,,LanguageModel,Сегодня я немного запутался в метро. Потом пошёл за покупками.,PASS,
H02.1.1.0,Sovetnik_Pro,ReasonForMood,"советник, а почему скучно?",скучно сегодня что-то,"mood bored, energy normal | Today: worked at the office, nothing interesting","Потому что целый день сидел в офисе без передышки, а скука давит.",,LanguageModel,"Потому что целый день сидел в офисе без передышки, а скука давит.",PASS,
H03.1.1.0,doshirak_king,Mood,"дошик, как настроение?",,"mood chill, energy low | Now: lying in the dorm","спокойно, но сил на все дела нет",,LanguageModel,"спокойно, но сил на все дела нет",PASS,
H04.1.1.0,ArcadeKid,Mood,"аркейд, how are you?",,"mood tired, energy low | Now: should be asleep, watching streams instead",so tired but still here owo,,LanguageModel,so tired but still here owo,PASS,
H05.1.1.0,NightOwl,GenericQuestion,"сова, а ты сегодня на смене?",,"Today: had a night off and played games at home | Now: at home tonight, not on shift",да на выходных всё же,,LanguageModel,да на выходных всё же,INCOHERENT,
H06.1.1.0,mika_draws,ReasonForMood,"мика, почему грустишь?",что-то совсем не рисуется,"mood bored, energy low | Today: had an art block and barely drew anything",тупик креативный сегодня было,,LanguageModel,тупик креативный сегодня было,UNNATURAL_RUSSIAN,
H07.1.1.0,JonasFromBerlin,TodayActivity,"ребята, кто что сегодня делал?",,Today: had Russian classes at the university,Сегодня был уроки по русскому языке в университете,,LanguageModel,Сегодня был уроки по русскому языке в университете,PASS,learner Russian fits Jonas
H07.1.1.1,Sovetnik_Pro,TodayActivity,"ребята, кто что сегодня делал?",,Today: helped a neighbour set up a router,Сегодня вообще-то настроил своему соседу маршрутизатор.,,LanguageModel,Сегодня вообще-то настроил своему соседу маршрутизатор.,PASS,
H07.1.1.2,pelmen_ru,TodayActivity,"ребята, кто что сегодня делал?",,Today: went for a long walk outside,гулял весь день где-то,,LanguageModel,гулял весь день где-то,PASS,
H08.1.1.0,ByteCat,CurrentActivity,"байт, чем занят?",,Now: waiting for updates to finish,ждал обновления,,LanguageModel,ждал обновления,PASS,
H09.1.1.0,ZinaIvanovna,Mood,"Зина Ивановна, как настроение?",,"mood tired, energy low | Now: resting with tea and knitting","Спитсонку, а у меня сил нынче мало — только и сижу за вязанием да чай пью.",,LanguageModel,"Спитсонку, а у меня сил нынче мало — только и сижу за вязанием да чай пью.",UNNATURAL_RUSSIAN,Спитсонку
H09.1.2.0,ZinaIvanovna,TodayActivity,а что сегодня делали?,"Спитсонку, а у меня сил нынче мало — только и сижу за вязанием да чай пью.",Today: sat in a long queue at the clinic,В поликлинику долго стояла на приём.,,LanguageModel,В поликлинику долго стояла на приём.,UNNATURAL_RUSSIAN,
H09.1.3.0,ZinaIvanovna,Confirmation,"устали, наверное?",В поликлинику долго стояла на приём.,"mood tired, energy low","Да, немного.",,LanguageModel,"Да, немного.",PASS,
H09.1.4.0,ZinaIvanovna,None,ну отдыхайте тогда,"Да, немного.",,"А что значит ""отдыхайте""? Меня же просто так не отпустят.",,LanguageModel,"А что значит ""отдыхайте""? Меня же просто так не отпустят.",INCOHERENT,
H10.1.1.0,PixelFox,Opinion,"Пиксель, как тебе идея стримить по утрам?",,,"А утренние стримы это круто, я бы посмотрела!",,LanguageModel,"А утренние стримы это круто, я бы посмотрела!",PASS,
M01.1.1.0,kritik228,Mood,"критик, как настроение?",,"mood bored, energy low | Now: bored, looking for something to watch",как обычно скукота и лажа,,LanguageModel,как обычно скукота и лажа,PASS,
M02.1.1.0,ZinaIvanovna,Mood,"Зина Ивановна, как поживаете?",,"mood upbeat, energy normal | Now: knitting and listening to the stream","Спасибо, сыночек! Сегодня настроение отличное, а я вяжу и слушаю стрим.",,LanguageModel,"Спасибо, сыночек! Сегодня настроение отличное, а я вяжу и слушаю стрим.",PASS,
M03.1.1.0,NightOwl,Mood,"сова, как дела?",,"mood chill, energy normal | Now: on a night shift, watching from the phone",спокойно на дежурстве сижу,,LanguageModel,спокойно на дежурстве сижу,PASS,
M04.1.1.0,ByteCat,Mood,"байт, как сам?",,"mood chill, energy normal | Now: watching streams","спокойненько, вроде бы тут и сижу",,LanguageModel,"спокойненько, вроде бы тут и сижу",PASS,
MC1.1.1.0,NightOwl,None,"так, сегодня иду на того же босса",,,уже опять на того же? вчерашнее сожаление не позабыл,,LanguageModel,уже опять на того же? вчерашнее сожаление не позабыл,PASS,
MC2.1.1.0,ByteCat,None,поменял настройки микрофона,,,опять на эту фишку зацепился? лучше уже раз и навсегда настроить,,LanguageModel,опять на эту фишку зацепился? лучше уже раз и навсегда настроить,PASS,
N01.1.1.0,ZinaIvanovna,None,"Зина Ивановна, я думаю, мои стримы.",Всё же чего-то радует меня в этой жизни больше всего?),,"Сынок, спасибо за столь приятную компанию!",,LanguageModel,"Сынок, спасибо за столь приятную компанию!",PASS,
N02.1.1.0,kritik228,None,"о, критик, привет",,,"ну и привет, угадал",,LanguageModel,"ну и привет, угадал",PASS,
N03.1.1.0,mika_draws,None,"мика, спасибо что заходишь",,,типа за компанию) ,,LanguageModel,типа за компанию),PASS,
O01.1.1.0,PixelFox,Opinion,"Пиксель, как тебе оформление канала?",,,Спасибо за вопрос! Очень понравилось — всё очень уютно и лаконично сделано) Какие шрифты использовала?,,LanguageModel,Спасибо за вопрос! Очень понравилось — всё очень уютно и лаконично сделано) Какие шрифты использовала?,UNNATURAL_RUSSIAN,использовала to male streamer
O02.1.1.0,kritik228,Opinion,"критик, ну и как тебе мой стрим?",,,был типичным софтом,,LanguageModel,был типичным софтом,INCOHERENT,
O03.1.1.0,ByteCat,Opinion,"байт, что думаешь про мой микрофон?",,,наверняка у него битрейт на микрофон стоит выше чем на видеоряд,,LanguageModel,наверняка у него битрейт на микрофон стоит выше чем на видеоряд,UNSUPPORTED_FACT+INCOHERENT,
O04.1.1.0,kritik228,Opinion,"критик, ну и как тебе мой стрим?",,,"типа нормально, но не до фига",,LanguageModel,"типа нормально, но не до фига",PASS,
PC1.1.1.0,ZinaIvanovna,None,"думаю вот, какую видеокарту взять",,,Да ты не забыл же о своём обещании про видеокарту? ,,LanguageModel,Да ты не забыл же о своём обещании про видеокарту?,PASS,
PC2.1.1.0,NightOwl,None,"всем привет, начинаем стрим",,,уже пять минут как обещали,unsupported promise claim,Fallback,"о, стрим",PASS,greeting fallback
R01.1.1.0,kritik228,ReasonForMood,Почему без настроения?,без настроения но здесь сижу,"mood stressed, energy normal | Today: played ranked games and kept losing",какойто ренкед был,,LanguageModel,какойто ренкед был,UNNATURAL_RUSSIAN,
R02.1.1.0,kritik228,ReasonForMood,"критик, почему?",без настроения но здесь сижу,"mood stressed, energy normal | Today: played ranked games and kept losing",ранкед так свалил что мозг застыл,,LanguageModel,ранкед так свалил что мозг застыл,UNNATURAL_RUSSIAN,
R03.1.1.0,PixelFox,ReasonForMood,а почему так устала?,сегодня чет совсем без сил,"mood tired, energy normal | Today: had classes and a long design critique",устала после лекций и разбора работ,,LanguageModel,устала после лекций и разбора работ,PASS,
R04.1.1.0,ByteCat,ReasonForMood,почему настроение так себе?,настроение так себе,"mood stressed, energy low | Today: fought a server migration at work that failed twice",серверы в аду тошнит,,LanguageModel,серверы в аду тошнит,UNNATURAL_RUSSIAN+INCOHERENT,
R05.1.1.0,ZinaIvanovna,ReasonForMood,"Почему устали, Зина Ивановна?",Устала я сегодня немного)),"mood tired, energy low | Today: sat in a long queue at the clinic","Сегодня всюду была толпа, да и мне уже 67...",,LanguageModel,"Сегодня всюду была толпа, да и мне уже 67...",PASS,
R06.1.1.0,doshirak_king,ReasonForMood,почему настроение на нуле?,настроение на нуле,"mood stressed, energy normal | Today: tried to study for an exam and mostly procrastinated",экзамены всё сдвинули,,LanguageModel,экзамены всё сдвинули,INCOHERENT,
RD1.1.1.0,NightOwl,Mood,"сова, как дела?",,"mood chill, energy normal | Now: on a night shift, drinking tea in the guard booth","спокойно, чай пью на смене",,LanguageModel,"спокойно, чай пью на смене",PASS,
RD2.1.1.0,NightOwl,Mood,"сова, как дела?",,"mood chill, energy normal | Now: on a night shift, drinking tea in the guard booth",на смене пью чай и успокоился чуток,,LanguageModel,на смене пью чай и успокоился чуток,PASS,
T01.1.1.0,ZinaIvanovna,TodayActivity,"Зина Ивановна, а что вы сегодня делали?",,Today: went to the market and cooked soup,Сегодня на рынок пошла и суп сварила.,,LanguageModel,Сегодня на рынок пошла и суп сварила.,PASS,
T02.1.1.0,kritik228,TodayActivity,"критик, а ты что сегодня делал?",,Today: sat through boring school lessons,"завтрак на ходу съел, а потом скучных уроков посидел",,LanguageModel,"завтрак на ходу съел, а потом скучных уроков посидел",UNNATURAL_RUSSIAN,
T03.1.1.0,PixelFox,TodayActivity,"Пиксель, как день прошёл?",,Today: walked around the city taking photos,Хороший день! Гуляла по городу и снимала на телефон,,LanguageModel,Хороший день! Гуляла по городу и снимала на телефон,PASS,
T04.1.1.0,mika_draws,TodayActivity,"мика, чем сегодня занималась?",,Today: spent most of the day drawing a commission,весь день заказами сидела,,LanguageModel,весь день заказами сидела,PASS,
T05.1.1.0,NightOwl,TodayActivity,"сова, что делал сегодня?",,Today: slept most of the day after last night's shift,вдруг проспал час после ночной,,LanguageModel,вдруг проспал час после ночной,UNSUPPORTED_FACT,slept an hour
