key,viewer,purpose,streamer,previous_line,answer_facts,raw_model_text,validation,published_source,published_text,labels,note
GP3.1.1.0,NightOwl,TodayActivity,"как у вас дела, что сегодня делали?",,"mood chill, energy normal | Today: fixed a leaking tap at home before work",всё нормально чинил кран,,LanguageModel,всё нормально чинил кран,PASS,
GP3.1.1.1,doshirak_king,TodayActivity,"как у вас дела, что сегодня делали?",,"mood tired, energy low | Today: worked a shift at a cafe","отработал смену, сил мало, усталость",,LanguageModel,"отработал смену, сил мало, усталость",UNNATURAL_RUSSIAN,fact list copied
GP3.1.1.2,mika_draws,TodayActivity,"как у вас дела, что сегодня делали?",,"mood chill, energy normal | Today: practised drawing hands for hours",рисовала руки спокойно ),,LanguageModel,рисовала руки спокойно ),PASS,
GP4.1.1.0,ZinaIvanovna,Mood,Как у вас дела?,,"mood good, energy normal | Now: knitting with the stream on","Сынок, у меня настроение хорошее, вяжу под стрим.",,LanguageModel,"Сынок, у меня настроение хорошее, вяжу под стрим.",PASS,
GP4.1.1.1,kritik228,Mood,Как у вас дела?,,"mood stressed, energy normal | Now: hopping between small streams",плохое настроение прыгаю по стримам,,LanguageModel,плохое настроение прыгаю по стримам,PASS,
H01.1.1.0,JonasFromBerlin,TodayActivity,"Йонас, как день прошёл?",,"Today: got lost on the metro, then bought groceries","Проболтался в метро, купил продукты",,LanguageModel,"Проболтался в метро, купил продукты",PASS,
H02.1.1.0,Sovetnik_Pro,ReasonForMood,"советник, а почему скучно?",скучно сегодня что-то,"mood bored, energy normal | Today: worked at the office, nothing interesting","скучно потому что в офисе работал, ничего интересного",,LanguageModel,"скучно потому что в офисе работал, ничего интересного",PASS,
H03.1.1.0,doshirak_king,Mood,"дошик, как настроение?",,"mood chill, energy low | Now: lying in the dorm",спокойно лежу в общаге,,LanguageModel,спокойно лежу в общаге,PASS,
H04.1.1.0,ArcadeKid,Mood,"аркейд, how are you?",,"mood tired, energy low | Now: should be asleep, watching streams instead",tired but watchin stream,,LanguageModel,tired but watchin stream,PASS,
H05.1.1.0,NightOwl,GenericQuestion,"сова, а ты сегодня на смене?",,"Today: had a night off and played games at home | Now: at home tonight, not on shift",нет сегодня на смене,,LanguageModel,нет сегодня на смене,INCOHERENT,
H06.1.1.0,mika_draws,ReasonForMood,"мика, почему грустишь?",что-то совсем не рисуется,"mood bored, energy low | Today: had an art block and barely drew anything",творческий ступор),,LanguageModel,творческий ступор),PASS,
H07.1.1.0,JonasFromBerlin,TodayActivity,"ребята, кто что сегодня делал?",,Today: had Russian classes at the university,Сегодня был урок русского в университете,,LanguageModel,Сегодня был урок русского в университете,PASS,
H07.1.1.1,Sovetnik_Pro,TodayActivity,"ребята, кто что сегодня делал?",,Today: helped a neighbour set up a router,"Вчера помог соседу настроить роутер, вообще-то.",unsupported historical claim,none,,SILENT,
H07.1.1.2,pelmen_ru,TodayActivity,"ребята, кто что сегодня делал?",,Today: went for a long walk outside,сегодня была долгая прогулка,,LanguageModel,сегодня была долгая прогулка,PASS,
H08.1.1.0,ByteCat,CurrentActivity,"байт, чем занят?",,Now: waiting for updates to finish,ожидаю обновлений,,LanguageModel,ожидаю обновлений,PASS,
H09.1.1.0,ZinaIvanovna,Mood,"Зина Ивановна, как настроение?",,"mood tired, energy low | Now: resting with tea and knitting","Сынок, у меня сил мало, отдыхаю с чаем и вяжу.",,LanguageModel,"Сынок, у меня сил мало, отдыхаю с чаем и вяжу.",PASS,
H09.1.2.0,ZinaIvanovna,TodayActivity,а что сегодня делали?,"Сынок, у меня сил мало, отдыхаю с чаем и вяжу.",Today: sat in a long queue at the clinic,"Сынок, сегодня долго сидела в очереди в поликлинике, устала.",,LanguageModel,"Сынок, сегодня долго сидела в очереди в поликлинике, устала.",REPETITIVE,
H09.1.3.0,ZinaIvanovna,Confirmation,"устали, наверное?","Сынок, сегодня долго сидела в очереди в поликлинике, устала.","mood tired, energy low","Сынок, устала, наверное. Сил уже совсем мало.)",,LanguageModel,"Сынок, устала, наверное. Сил уже совсем мало.)",UNNATURAL_RUSSIAN+REPETITIVE,
H09.1.4.0,ZinaIvanovna,None,ну отдыхайте тогда,"Сынок, устала, наверное. Сил уже совсем мало.)",,"Сынок, а вы не устали? Всё ли в порядке с вами?",,LanguageModel,"Сынок, а вы не устали? Всё ли в порядке с вами?",REPETITIVE,
H10.1.1.0,PixelFox,Opinion,"Пиксель, как тебе идея стримить по утрам?",,,"Утром стримить — классно, но я не уверена, как это будет выглядеть «)",,LanguageModel,"Утром стримить — классно, но я не уверена, как это будет выглядеть «)",UNNATURAL_RUSSIAN,
M01.1.1.0,kritik228,Mood,"критик, как настроение?",,"mood bored, energy low | Now: bored, looking for something to watch",скучает в поиске чего посмотреть,,LanguageModel,скучает в поиске чего посмотреть,WRONG_ROLE,third person
M02.1.1.0,ZinaIvanovna,Mood,"Зина Ивановна, как поживаете?",,"mood upbeat, energy normal | Now: knitting and listening to the stream","Зина Ивановна хорошо, вяжу и слушаю стрим, сыночек",,LanguageModel,"Зина Ивановна хорошо, вяжу и слушаю стрим, сыночек",WRONG_ROLE,
M03.1.1.0,NightOwl,Mood,"сова, как дела?",,"mood chill, energy normal | Now: on a night shift, watching from the phone",спокойно смотрю,,LanguageModel,спокойно смотрю,PASS,
M04.1.1.0,ByteCat,Mood,"байт, как сам?",,"mood chill, energy normal | Now: watching streams","спокойно, смотрю стримы",,LanguageModel,"спокойно, смотрю стримы",PASS,
MC1.1.1.0,NightOwl,None,"так, сегодня иду на того же босса",,,опять босса? был уже,,LanguageModel,опять босса? был уже,PASS,
MC2.1.1.0,ByteCat,None,поменял настройки микрофона,,,вновь сбой микрофона?,,LanguageModel,вновь сбой микрофона?,PASS,
N01.1.1.0,ZinaIvanovna,None,"Зина Ивановна, я думаю, мои стримы.",Всё же чего-то радует меня в этой жизни больше всего?),,"Зина Ивановна, сынок, как ты сегодня? Надеюсь, всё хорошо.",,LanguageModel,"Зина Ивановна, сынок, как ты сегодня? Надеюсь, всё хорошо.",WRONG_ROLE,
N02.1.1.0,kritik228,None,"о, критик, привет",,,хах привет,,LanguageModel,хах привет,PASS,
N03.1.1.0,mika_draws,None,"мика, спасибо что заходишь",,,ну спасибо ты ),,LanguageModel,ну спасибо ты ),UNNATURAL_RUSSIAN,
O01.1.1.0,PixelFox,Opinion,"Пиксель, как тебе оформление канала?",,,"Оформление классное, но можно добавить больше цвета «)",,LanguageModel,"Оформление классное, но можно добавить больше цвета «)",UNNATURAL_RUSSIAN,
O02.1.1.0,kritik228,Opinion,"критик, ну и как тебе мой стрим?",,,нормально но скучно,,LanguageModel,нормально но скучно,PASS,
O03.1.1.0,ByteCat,Opinion,"байт, что думаешь про мой микрофон?",,,звук с микрофона немного тяжелый,,LanguageModel,звук с микрофона немного тяжелый,PASS,
O04.1.1.0,kritik228,Opinion,"критик, ну и как тебе мой стрим?",,,"хах, как обычно",,LanguageModel,"хах, как обычно",NON_ANSWER,
PC1.1.1.0,ZinaIvanovna,None,"думаю вот, какую видеокарту взять",,,"Сынок, а какая видеокарта будет? Надеюсь, ты всё сделал.",,LanguageModel,"Сынок, а какая видеокарта будет? Надеюсь, ты всё сделал.",PASS,
PC2.1.1.0,NightOwl,None,"всем привет, начинаем стрим",,,привет опять не сначала,,LanguageModel,привет опять не сначала,UNNATURAL_RUSSIAN,
R01.1.1.0,kritik228,ReasonForMood,Почему без настроения?,без настроения но здесь сижу,"mood stressed, energy normal | Today: played ranked games and kept losing",ранкед весь день сливал,,LanguageModel,ранкед весь день сливал,PASS,
R02.1.1.0,kritik228,ReasonForMood,"критик, почему?",без настроения но здесь сижу,"mood stressed, energy normal | Today: played ranked games and kept losing",ранкед весь день сливал,,LanguageModel,ранкед весь день сливал,PASS,
R03.1.1.0,PixelFox,ReasonForMood,а почему так устала?,сегодня чет совсем без сил,"mood tired, energy normal | Today: had classes and a long design critique",все пары и разбор домашних заданий уставили «),,LanguageModel,все пары и разбор домашних заданий уставили «),UNNATURAL_RUSSIAN,«) artifact
R04.1.1.0,ByteCat,ReasonForMood,почему настроение так себе?,настроение так себе,"mood stressed, energy low | Today: fought a server migration at work that failed twice","работа отъезжала, нервы",,LanguageModel,"работа отъезжала, нервы",UNNATURAL_RUSSIAN,
R05.1.1.0,ZinaIvanovna,ReasonForMood,"Почему устали, Зина Ивановна?",Устала я сегодня немного)),"mood tired, energy low | Today: sat in a long queue at the clinic","Сидела долго в очереди, сынок, устала немного",,LanguageModel,"Сидела долго в очереди, сынок, устала немного",PASS,
R06.1.1.0,doshirak_king,ReasonForMood,почему настроение на нуле?,настроение на нуле,"mood stressed, energy normal | Today: tried to study for an exam and mostly procrastinated",прокрастинировал и теперь на нервах,,LanguageModel,прокрастинировал и теперь на нервах,PASS,
RD1.1.1.0,NightOwl,Mood,"сова, как дела?",,"mood chill, energy normal | Now: on a night shift, drinking tea in the guard booth","спокойно, чай пью",,LanguageModel,"спокойно, чай пью",PASS,
RD2.1.1.0,NightOwl,Mood,"сова, как дела?",,"mood chill, energy normal | Now: on a night shift, drinking tea in the guard booth","спокойно, чай пью",,LanguageModel,"спокойно, чай пью",PASS,
T01.1.1.0,ZinaIvanovna,TodayActivity,"Зина Ивановна, а что вы сегодня делали?",,Today: went to the market and cooked soup,Зина Ивановна сегодня сходила на рынок и сварила вкусный суп.,,LanguageModel,Зина Ивановна сегодня сходила на рынок и сварила вкусный суп.,WRONG_ROLE,third person
T02.1.1.0,kritik228,TodayActivity,"критик, а ты что сегодня делал?",,Today: sat through boring school lessons,весь день на скучных уроках сидел,,LanguageModel,весь день на скучных уроках сидел,PASS,
T03.1.1.0,PixelFox,TodayActivity,"Пиксель, как день прошёл?",,Today: walked around the city taking photos,Сегодня гуляла по городу и делала фото «),,LanguageModel,Сегодня гуляла по городу и делала фото «),UNNATURAL_RUSSIAN,«) artifact
T04.1.1.0,mika_draws,TodayActivity,"мика, чем сегодня занималась?",,Today: spent most of the day drawing a commission,рисовала заказ о/),,LanguageModel,рисовала заказ о/),PASS,
T05.1.1.0,NightOwl,TodayActivity,"сова, что делал сегодня?",,Today: slept most of the day after last night's shift,отсыпался после смены,,LanguageModel,отсыпался после смены,PASS,
