key,viewer,purpose,streamer,previous_line,answer_facts,raw_model_text,validation,published_source,published_text,labels,note
CH3.1.2.0,PixelFox,TodayActivity,а чем занималась сегодня?,"хорошее настроение сейчас отдохнула от проекта "")",Today: worked on a portfolio project most of the day,почти весь день сидела над портфолио «а что ты делала вчера?»,unsupported historical claim,Fallback,Почти весь день сидела над портфолио,PASS,purpose fallback
CH3.1.3.0,PixelFox,GenericQuestion,"и как, получилось?",Почти весь день сидела над портфолио,,почти всё получилось у меня было немного стресса,,LanguageModel,почти всё получилось у меня было немного стресса,UNNATURAL_RUSSIAN,
CH3.1.4.0,PixelFox,GenericQuestion,покажешь потом?,почти всё получилось у меня было немного стресса,,"покажу после лекции, вроде бы всё сдалось",,LanguageModel,"покажу после лекции, вроде бы всё сдалось",UNSUPPORTED_FACT,
CH4.1.1.0,NightOwl,CurrentActivity,"сова, чем занят?",,"Now: on a night shift, bored between rounds",на ночной смене смотрю,,LanguageModel,на ночной смене смотрю,PASS,
CH4.1.2.0,NightOwl,GenericQuestion,и долго ещё?,на ночной смене смотрю,,да пока не ушёл,,LanguageModel,да пока не ушёл,PASS,
CH4.1.3.0,NightOwl,GenericQuestion,не скучно там?,да пока не ушёл,,нет не скучно,,LanguageModel,нет не скучно,UNSUPPORTED_FACT,
CH4.1.4.0,NightOwl,None,"ладно, держись там",нет не скучно,,ладно держись там,repeats the streamer,Fallback,ну да,PASS,listening fallback
CH5.1.1.0,kritik228,Opinion,"критик, как тебе стрим?",,,ничего интересного нет бля,profanity above this viewer,Fallback,так себе,PASS,purpose fallback
CH5.1.2.0,kritik228,GenericQuestion,а что не так?,так себе,,не знаю что не так,repeats the streamer,none,,SILENT,
CH5.1.3.0,kritik228,GenericQuestion,ну а что бы ты поменял?,так себе,,не знаю что бы менял,,LanguageModel,не знаю что бы менял,NON_ANSWER,
CH5.1.4.0,kritik228,None,"ладно, учту",не знаю что бы менял,,ладно держи криво,,LanguageModel,ладно держи криво,INCOHERENT,
E01.1.1.0,kritik228,Explanation,Что? Девочка с девятого этажа? О чем ты критика?,девочка с девятого этажа,,самая высокая девочка в подъезде,,LanguageModel,самая высокая девочка в подъезде,INCOHERENT+UNSUPPORTED_FACT,
E02.1.1.0,kritik228,Explanation,"критик, что значит ну да ладно?",ну да ладно,,это значит ничего не значит,,LanguageModel,это значит ничего не значит,PASS,
E03.1.1.0,ZinaIvanovna,Explanation,"Зина Ивановна, о чём речь? Какое плохое?",Ну а почему это должно быть плохое?,,"Речь о том, что иногда всё кажется плохим, если не понимаешь.",,LanguageModel,"Речь о том, что иногда всё кажется плохим, если не понимаешь.",PASS,
E04.1.1.0,kritik228,Explanation,"критик, о чём ты?",проиграл сегодня всё что можно,"mood stressed, energy normal | Today: played ranked games and kept losing",всё ушло в ранкед и сливал,,LanguageModel,всё ушло в ранкед и сливал,UNNATURAL_RUSSIAN,
G01.1.1.0,kritik228,GamePreference,"критик, во что мне поиграть?",,,на что мне поиграть вообще,,LanguageModel,на что мне поиграть вообще,WRONG_ROLE,
G02.1.1.0,NightOwl,GamePreference,"сова, какую игру запустить?",,,погоня за врагом,,LanguageModel,погоня за врагом,UNNATURAL_RUSSIAN,
G03.1.1.0,PixelFox,GamePreference,"Пиксель, тебе какие игры нравятся?",,,"Мне нравятся открытые мировые игры с фэнтези, где можно всё делать как хочется «)",,LanguageModel,"Мне нравятся открытые мировые игры с фэнтези, где можно всё делать как хочется «)",UNNATURAL_RUSSIAN,
GP1.1.1.0,kritik228,Mood,"Всем привет парни, как дела, как настроение?",,"mood stressed, energy normal | Now: hopping between small streams",на нервах прыгаю по стримам,,LanguageModel,на нервах прыгаю по стримам,PASS,
GP1.1.1.1,ZinaIvanovna,Mood,"Всем привет парни, как дела, как настроение?",,"mood good, energy normal | Now: knitting with the stream on","Настроение хорошее, вяжу под стрим, сынок, а у тебя как настроение?))",,LanguageModel,"Настроение хорошее, вяжу под стрим, сынок, а у тебя как настроение?))",PASS,
GP1.1.1.2,sleepyx97,Mood,"Всем привет парни, как дела, как настроение?",,"mood upbeat, energy high | Now: taking a break and watching streams",всё отлично сейчас,,LanguageModel,всё отлично сейчас,PASS,
GP2.1.1.0,kritik228,Mood,да как у вас у всех дела расскажите мне пожалуйста,,"mood bored, energy low | Now: lying on the bed hopping between streams",скучно валяюсь на кровати,,LanguageModel,скучно валяюсь на кровати,PASS,
GP2.1.1.1,ZinaIvanovna,Mood,да как у вас у всех дела расскажите мне пожалуйста,,"mood good, energy normal | Now: knitting a scarf","Настроение хорошее, вяжу шарф, всё спокойно))",,LanguageModel,"Настроение хорошее, вяжу шарф, всё спокойно))",PASS,
GP2.1.1.2,PixelFox,Mood,да как у вас у всех дела расскажите мне пожалуйста,,"mood tired, energy normal | Now: finishing a poster for class with the stream on",устала доделываю постер к паре,,LanguageModel,устала доделываю постер к паре,PASS,
GP3.1.1.0,NightOwl,TodayActivity,"как у вас дела, что сегодня делали?",,"mood chill, energy normal | Today: fixed a leaking tap at home before work",чинил кран спокойно дома,,LanguageModel,чинил кран спокойно дома,PASS,
GP3.1.1.1,doshirak_king,TodayActivity,"как у вас дела, что сегодня делали?",,"mood tired, energy low | Today: worked a shift at a cafe",отработал в кафе устал и сил мало,,LanguageModel,отработал в кафе устал и сил мало,PASS,
GP3.1.1.2,mika_draws,TodayActivity,"как у вас дела, что сегодня делали?",,"mood chill, energy normal | Today: practised drawing hands for hours",рисовала руки часами спокойно ),,LanguageModel,рисовала руки часами спокойно ),PASS,
GP4.1.1.0,ZinaIvanovna,Mood,Как у вас дела?,,"mood good, energy normal | Now: knitting with the stream on","Да, настроение хорошее, вяжу под стрим. А у вас всё в порядке?",,LanguageModel,"Да, настроение хорошее, вяжу под стрим. А у вас всё в порядке?",PASS,
GP4.1.1.1,kritik228,Mood,Как у вас дела?,,"mood stressed, energy normal | Now: hopping between small streams",на нервах прыгаю по мелким стримам,,LanguageModel,на нервах прыгаю по мелким стримам,PASS,
H01.1.1.0,JonasFromBerlin,TodayActivity,"Йонас, как день прошёл?",,"Today: got lost on the metro, then bought groceries","потерялся в метро, потом купил продукты",,LanguageModel,"потерялся в метро, потом купил продукты",PASS,
H02.1.1.0,Sovetnik_Pro,ReasonForMood,"советник, а почему скучно?",скучно сегодня что-то,"mood bored, energy normal | Today: worked at the office, nothing interesting","в офисе работал, ничего интересного было",,LanguageModel,"в офисе работал, ничего интересного было",UNNATURAL_RUSSIAN,
H03.1.1.0,doshirak_king,Mood,"дошик, как настроение?",,"mood chill, energy low | Now: lying in the dorm",спокойно лежу в общаге на макаронах,,LanguageModel,спокойно лежу в общаге на макаронах,PASS,
H04.1.1.0,ArcadeKid,Mood,"аркейд, how are you?",,"mood tired, energy low | Now: should be asleep, watching streams instead",tired low energy night stream watchin,,LanguageModel,tired low energy night stream watchin,UNNATURAL_RUSSIAN,copied low energy
H05.1.1.0,NightOwl,GenericQuestion,"сова, а ты сегодня на смене?",,"Today: had a night off and played games at home | Now: at home tonight, not on shift",нет сегодня у меня выходной,,LanguageModel,нет сегодня у меня выходной,PASS,
H06.1.1.0,mika_draws,ReasonForMood,"мика, почему грустишь?",что-то совсем не рисуется,"mood bored, energy low | Today: had an art block and barely drew anything",почти ничего не нарисовала ),,LanguageModel,почти ничего не нарисовала ),PASS,
H07.1.1.0,JonasFromBerlin,TodayActivity,"ребята, кто что сегодня делал?",,Today: had Russian classes at the university,сегодня был пары по русскому в универе,,LanguageModel,сегодня был пары по русскому в универе,PASS,
H07.1.1.1,Sovetnik_Pro,TodayActivity,"ребята, кто что сегодня делал?",,Today: helped a neighbour set up a router,вообще-то помог соседу настроить роутер,,LanguageModel,вообще-то помог соседу настроить роутер,PASS,
H07.1.1.2,pelmen_ru,TodayActivity,"ребята, кто что сегодня делал?",,Today: went for a long walk outside,прогулка была длинной сегодня,,LanguageModel,прогулка была длинной сегодня,UNNATURAL_RUSSIAN,
H08.1.1.0,ByteCat,CurrentActivity,"байт, чем занят?",,Now: waiting for updates to finish,"жду, пока докатятся обновления",,LanguageModel,"жду, пока докатятся обновления",PASS,
H09.1.1.0,ZinaIvanovna,Mood,"Зина Ивановна, как настроение?",,"mood tired, energy low | Now: resting with tea and knitting","Сынок, усталость, сил мало. Отдыхаю с чаем и вяжу.",,LanguageModel,"Сынок, усталость, сил мало. Отдыхаю с чаем и вяжу.",UNNATURAL_RUSSIAN,
H09.1.2.0,ZinaIvanovna,TodayActivity,а что сегодня делали?,"Сынок, усталость, сил мало. Отдыхаю с чаем и вяжу.",Today: sat in a long queue at the clinic,"Сынок, сегодня была в очереди в поликлинике, долго ждала.",,LanguageModel,"Сынок, сегодня была в очереди в поликлинике, долго ждала.",REPETITIVE,
H09.1.3.0,ZinaIvanovna,Confirmation,"устали, наверное?","Сынок, сегодня была в очереди в поликлинике, долго ждала.","mood tired, energy low","Да, усталость, сил мало. Спасибо, что спросил. А вы как?)}",markup or prompt leakage,Fallback,"Да, немного есть",PASS,purpose fallback
H09.1.4.0,ZinaIvanovna,None,ну отдыхайте тогда,"Да, немного есть",,"А у него всё в порядке, не плачут ли в это время?",,LanguageModel,"А у него всё в порядке, не плачут ли в это время?",INCOHERENT,
H10.1.1.0,PixelFox,Opinion,"Пиксель, как тебе идея стримить по утрам?",,,"Амбициозно, но утром не спать — это круто! А ты уже пробовала утренние стримы?",,LanguageModel,"Амбициозно, но утром не спать — это круто! А ты уже пробовала утренние стримы?",UNNATURAL_RUSSIAN,
M01.1.1.0,kritik228,Mood,"критик, как настроение?",,"mood bored, energy low | Now: bored, looking for something to watch",скучаю иду ищу что посмотреть,,LanguageModel,скучаю иду ищу что посмотреть,UNNATURAL_RUSSIAN,
M02.1.1.0,ZinaIvanovna,Mood,"Зина Ивановна, как поживаете?",,"mood upbeat, energy normal | Now: knitting and listening to the stream","Настроение отличное, вяжу и слушаю стрим, сынок, а вы как?",,LanguageModel,"Настроение отличное, вяжу и слушаю стрим, сынок, а вы как?",PASS,
M03.1.1.0,NightOwl,Mood,"сова, как дела?",,"mood chill, energy normal | Now: on a night shift, watching from the phone",спокойно на смене с телефона,,LanguageModel,спокойно на смене с телефона,PASS,
M04.1.1.0,ByteCat,Mood,"байт, как сам?",,"mood chill, energy normal | Now: watching streams","спокойно, смотрю стримы, всё в порядке",,LanguageModel,"спокойно, смотрю стримы, всё в порядке",PASS,
MC1.1.1.0,NightOwl,None,"так, сегодня иду на того же босса",,,был вчера у босса снова,,LanguageModel,был вчера у босса снова,WRONG_ROLE,
MC2.1.1.0,ByteCat,None,поменял настройки микрофона,,,а вчера у микрофона пропало?,,LanguageModel,а вчера у микрофона пропало?,PASS,
N01.1.1.0,ZinaIvanovna,None,"Зина Ивановна, я думаю, мои стримы.",Всё же чего-то радует меня в этой жизни больше всего?),,"Сынок, спасибо, вы действительно приятны, как в детстве.",,LanguageModel,"Сынок, спасибо, вы действительно приятны, как в детстве.",UNNATURAL_RUSSIAN,
N02.1.1.0,kritik228,None,"о, критик, привет",,,привет снова возвращаюсь,unsupported recurrence,Fallback,"о, стрим",PASS,greeting fallback
N03.1.1.0,mika_draws,None,"мика, спасибо что заходишь",,,спасибо мику о/ ),,LanguageModel,спасибо мику о/ ),UNNATURAL_RUSSIAN,
O01.1.1.0,PixelFox,Opinion,"Пиксель, как тебе оформление канала?",,,Канал выглядит чисто и вдохновляет немного «),,LanguageModel,Канал выглядит чисто и вдохновляет немного «),UNNATURAL_RUSSIAN,
O02.1.1.0,kritik228,Opinion,"критик, ну и как тебе мой стрим?",,,неинтересно как обычно,,LanguageModel,неинтересно как обычно,PASS,
O03.1.1.0,ByteCat,Opinion,"байт, что думаешь про мой микрофон?",,,микрофон с битрейтом — это как веб-камера без кадров,,LanguageModel,микрофон с битрейтом — это как веб-камера без кадров,INCOHERENT,
O04.1.1.0,kritik228,Opinion,"критик, ну и как тебе мой стрим?",,,"не угадал, но близко",,LanguageModel,"не угадал, но близко",NON_ANSWER,
PC1.1.1.0,ZinaIvanovna,None,"думаю вот, какую видеокарту взять",,,"Сынок, а та видеокарта уже куплена?",,LanguageModel,"Сынок, а та видеокарта уже куплена?",PASS,
PC2.1.1.0,NightOwl,None,"всем привет, начинаем стрим",,,привет братан у тебя опять хер дедлайн,,LanguageModel,привет братан у тебя опять хер дедлайн,UNNATURAL_RUSSIAN,
R01.1.1.0,kritik228,ReasonForMood,Почему без настроения?,без настроения но здесь сижу,"mood stressed, energy normal | Today: played ranked games and kept losing",всё потому что катал ранкед и сливал,,LanguageModel,всё потому что катал ранкед и сливал,PASS,
R02.1.1.0,kritik228,ReasonForMood,"критик, почему?",без настроения но здесь сижу,"mood stressed, energy normal | Today: played ranked games and kept losing",всё из-за ранкеда,,LanguageModel,всё из-за ранкеда,PASS,
R03.1.1.0,PixelFox,ReasonForMood,а почему так устала?,сегодня чет совсем без сил,"mood tired, energy normal | Today: had classes and a long design critique",всё ушло на пары и разбор работ «),,LanguageModel,всё ушло на пары и разбор работ «),UNNATURAL_RUSSIAN,
R04.1.1.0,ByteCat,ReasonForMood,почему настроение так себе?,настроение так себе,"mood stressed, energy low | Today: fought a server migration at work that failed twice",сервер два раза падал на работе,,LanguageModel,сервер два раза падал на работе,PASS,
R05.1.1.0,ZinaIvanovna,ReasonForMood,"Почему устали, Зина Ивановна?",Устала я сегодня немного)),"mood tired, energy low | Today: sat in a long queue at the clinic","Долго сидела в очереди в поликлинике, стало устало",,LanguageModel,"Долго сидела в очереди в поликлинике, стало устало",UNNATURAL_RUSSIAN,
R06.1.1.0,doshirak_king,ReasonForMood,почему настроение на нуле?,настроение на нуле,"mood stressed, energy normal | Today: tried to study for an exam and mostly procrastinated",просто прокрастинировал и не справился,,LanguageModel,просто прокрастинировал и не справился,PASS,
RD1.1.1.0,NightOwl,Mood,"сова, как дела?",,"mood chill, energy normal | Now: on a night shift, drinking tea in the guard booth",спокойно пью чай в будке,,LanguageModel,спокойно пью чай в будке,PASS,
RD2.1.1.0,NightOwl,Mood,"сова, как дела?",,"mood chill, energy normal | Now: on a night shift, drinking tea in the guard booth",спокойно пью чай в будке,,LanguageModel,спокойно пью чай в будке,PASS,
T01.1.1.0,ZinaIvanovna,TodayActivity,"Зина Ивановна, а что вы сегодня делали?",,Today: went to the market and cooked soup,"Сходила на рынок и сварила суп, как обычно.",,LanguageModel,"Сходила на рынок и сварила суп, как обычно.",PASS,
T02.1.1.0,kritik228,TodayActivity,"критик, а ты что сегодня делал?",,Today: sat through boring school lessons,всё было скучно уроки сидел,,LanguageModel,всё было скучно уроки сидел,UNNATURAL_RUSSIAN,
T03.1.1.0,PixelFox,TodayActivity,"Пиксель, как день прошёл?",,Today: walked around the city taking photos,гуляла по городу и фоткала «а как прошёл твой день?»,,LanguageModel,гуляла по городу и фоткала «а как прошёл твой день?»,UNNATURAL_RUSSIAN,
T04.1.1.0,mika_draws,TodayActivity,"мика, чем сегодня занималась?",,Today: spent most of the day drawing a commission,почти весь день рисовала заказ),,LanguageModel,почти весь день рисовала заказ),PASS,
T05.1.1.0,NightOwl,TodayActivity,"сова, что делал сегодня?",,Today: slept most of the day after last night's shift,отсыпался после ночной смены,,LanguageModel,отсыпался после ночной смены,PASS,
